10 training trials,,,,,
quest_beta_5,"Mean=0.78, SD=0.09, Range=[0.60, 0.96], mean absolute difference=0.34","Mean=0.77, SD=0.06, Range=[0.65, 0.95], mean absolute difference=0.29","Mean=0.76, SD=0.04, Range=[0.66, 0.87], mean absolute difference=0.17","Mean=0.76, SD=0.03, Range=[0.72, 0.87], mean absolute difference=0.12","Mean=0.76, SD=0.02, Range=[0.71, 0.85], mean absolute difference=0.08"
quest_plus,"Mean=0.82, SD=0.05, Range=[0.68, 0.96], mean absolute difference=0.64","Mean=0.84, SD=0.05, Range=[0.73, 0.95], mean absolute difference=0.72","Mean=0.88, SD=0.06, Range=[0.74, 0.97], mean absolute difference=0.78","Mean=0.90, SD=0.06, Range=[0.72, 0.99], mean absolute difference=0.83","Mean=0.93, SD=0.05, Range=[0.77, 0.99], mean absolute difference=0.85"
,,,,,
,,,,,
,,,,,
,,,,,
50 training trials,,,,,
model,50,100,200,500,1000
1_down_1_up_simulation,"Mean=NaN, SD=NA, Range=[Inf, -Inf], mean absolute difference=NaN","Mean=0.76, SD=0.02, Range=[0.72, 0.84], mean absolute difference=6.48","Mean=0.77, SD=0.02, Range=[0.74, 0.81], mean absolute difference=6.59","Mean=0.77, SD=0.02, Range=[0.75, 0.81], mean absolute difference=6.52","Mean=0.77, SD=0.02, Range=[0.75, 0.81], mean absolute difference=6.52"
3_down_1_up_adaptive_step_size_decreasing_threshold,"Mean=NaN, SD=NA, Range=[Inf, -Inf], mean absolute difference=NaN","Mean=0.78, SD=0.10, Range=[0.46, 0.94], mean absolute difference=0.26","Mean=0.76, SD=0.11, Range=[0.46, 0.95], mean absolute difference=0.33","Mean=0.78, SD=0.11, Range=[0.51, 0.94], mean absolute difference=0.33","Mean=0.77, SD=0.10, Range=[0.49, 0.92], mean absolute difference=0.45"
3_down_1_up_simulation,"Mean=NaN, SD=NA, Range=[Inf, -Inf], mean absolute difference=NaN","Mean=0.78, SD=0.02, Range=[0.74, 0.84], mean absolute difference=2.77","Mean=0.78, SD=0.01, Range=[0.76, 0.81], mean absolute difference=2.84","Mean=0.79, SD=0.01, Range=[0.77, 0.81], mean absolute difference=2.84","Mean=0.79, SD=0.01, Range=[0.77, 0.81], mean absolute difference=2.85"
quest_beta_0.1,"Mean=NaN, SD=NA, Range=[Inf, -Inf], mean absolute difference=NaN","Mean=0.74, SD=0.02, Range=[0.66, 0.80], mean absolute difference=0.60","Mean=0.74, SD=0.01, Range=[0.73, 0.76], mean absolute difference=0.41","Mean=0.75, SD=0.00, Range=[0.73, 0.75], mean absolute difference=0.26","Mean=0.75, SD=0.00, Range=[0.74, 0.75], mean absolute difference=0.20"
quest_beta_1,"Mean=NaN, SD=NA, Range=[Inf, -Inf], mean absolute difference=NaN","Mean=0.74, SD=0.05, Range=[0.60, 0.88], mean absolute difference=0.20","Mean=0.74, SD=0.02, Range=[0.70, 0.80], mean absolute difference=0.14","Mean=0.75, SD=0.01, Range=[0.73, 0.78], mean absolute difference=0.09","Mean=0.75, SD=0.01, Range=[0.73, 0.77], mean absolute difference=0.07"
quest_beta_5,"Mean=NaN, SD=NA, Range=[Inf, -Inf], mean absolute difference=NaN","Mean=0.76, SD=0.08, Range=[0.60, 0.96], mean absolute difference=0.22","Mean=0.76, SD=0.04, Range=[0.63, 0.87], mean absolute difference=0.14","Mean=0.75, SD=0.03, Range=[0.71, 0.86], mean absolute difference=0.10","Mean=0.76, SD=0.02, Range=[0.71, 0.85], mean absolute difference=0.08"
quest_plus,"Mean=NaN, SD=NA, Range=[Inf, -Inf], mean absolute difference=NaN","Mean=0.85, SD=0.07, Range=[0.72, 0.98], mean absolute difference=0.74","Mean=0.89, SD=0.07, Range=[0.71, 0.99], mean absolute difference=0.79","Mean=0.91, SD=0.06, Range=[0.71, 0.99], mean absolute difference=0.83","Mean=0.93, SD=0.05, Range=[0.77, 1.00], mean absolute difference=0.86"
